-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,
Dates (month/day/year): 01/01/2022 through 12/31/2025 in LST,,,,,
Location: latitude  22.57   longitude 88.36 ,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,T2M,WS10M,ALLSKY_SFC_SW_DWN
2022,1,1,16.42,3.11,3.8714
2022,1,2,15.76,3.19,3.8057
2022,1,3,15.86,2.83,4.1153
2022,1,4,15.28,2.9,4.0306
2022,1,5,15.54,2.49,4.0258
2022,1,6,17.31,1.71,4.0104
2022,1,7,17.76,2.31,4.0322
2022,1,8,18.44,2.09,4.2809
2022,1,9,19.57,1.4,4.332
2022,1,10,20.32,0.97,3.5266
2022,1,11,19.97,1.88,3.1493
2022,1,12,18.43,1.79,1.656
2022,1,13,18.29,2.31,3.1416
2022,1,14,17.65,2.86,1.0111
2022,1,15,16.62,3.03,3.3394
2022,1,16,15.77,3.91,3.8597
2022,1,17,14.31,3.21,3.9329
2022,1,18,14.06,2.81,4.1234
2022,1,19,15.36,2.72,4.0121
2022,1,20,15.96,2.09,3.7354
2022,1,21,18.32,0.91,2.7811
2022,1,22,19.09,2.01,2.1391
2022,1,23,19.83,3.06,1.7753
2022,1,24,19.14,2.18,1.9973
2022,1,25,19.27,1.1,3.491
2022,1,26,18.65,1.77,3.067
2022,1,27,16.39,3.3,3.5114
2022,1,28,13.99,2.87,4.1352
2022,1,29,13.6,3.18,4.2742
2022,1,30,15.09,2.11,4.3495
2022,1,31,17.23,2.22,4.5936
2022,2,1,18.44,2.15,4.4861
2022,2,2,19.9,0.93,4.4983
2022,2,3,19.78,3.24,3.271
2022,2,4,21,5.63,1.1582
2022,2,5,17.42,3.72,4.8036
2022,2,6,15.97,2.09,5.0446
2022,2,7,16.89,1.34,4.7666
